				-----------------------------------------
				WIND HISTORICAL SERIES DATA - RTS96-REN-T
				-----------------------------------------

NUMBER OF WIND ZONES
--------------------
3

NUMBER OF WIND GENERATION BUSES
-------------------------------
6

+------+ +-+
  ZONE   BUS 
+------+ +-+
 WIND_01 101
 WIND_01 115
 WIND_02 201
 WIND_02 215
 WIND_03 301
 WIND_03 315

NUMBER OF SERIES/YEARS
----------------------
5

+--+ +---------+
YEAR PROBABILITY 
+--+ +---------+
   1        0.20
   2        0.20
   3        0.20
   4        0.20
   5        0.20

YEAR 1                           YEAR 2                           YEAR 3                           YEAR 4                           YEAR 5                
+--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+
HOUR  WIND_01  WIND_02  WIND_03  HOUR  WIND_01  WIND_02  WIND_03  HOUR  WIND_01  WIND_02  WIND_03  HOUR  WIND_01  WIND_02  WIND_03  HOUR  WIND_01  WIND_02  WIND_03
+--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+  +--+ +------+ +------+ +------+
0001 0.000000 0.062930 0.302509  0001 0.012851 0.000000 0.110450  0001 0.792919 0.993000 0.495669  0001 0.017382 0.000000 0.090440  0001 0.160405 0.000000 0.537675
0002 0.000000 0.000000 0.438808  0002 0.011901 0.068866 0.114284  0002 0.792919 0.993000 0.519396  0002 0.022861 0.000000 0.035126  0002 0.215627 0.000000 0.617156
0003 0.000000 0.309026 0.353154  0003 0.006497 0.068866 0.105858  0003 0.765442 0.993000 0.569640  0003 0.033306 0.000000 0.009690  0003 0.187699 0.000000 0.596589
0004 0.000000 0.202263 0.228411  0004 0.006497 0.130153 0.116299  0004 0.773293 0.993000 0.575707  0004 0.088710 0.000000 0.000404  0004 0.222054 0.000000 0.516753
0005 0.000000 0.115432 0.245406  0005 0.018173 0.213326 0.082383  0005 0.788994 0.993000 0.521818  0005 0.017572 0.000000 0.006864  0005 0.109754 0.000000 0.451183
0006 0.000000 0.191281 0.228751  0006 0.009992 0.130153 0.078849  0006 0.792919 0.993000 0.547650  0006 0.063203 0.000000 0.037953  0006 0.106738 0.000000 0.503739
0007 0.000000 0.202263 0.276677  0007 0.008722 0.213326 0.083802  0007 0.792919 0.993000 0.548045  0007 0.013761 0.000000 0.030281  0007 0.165969 0.000000 0.542682
0008 0.000000 0.309026 0.281095  0008 0.011241 0.213326 0.107777  0008 0.791105 0.993000 0.547248  0008 0.022888 0.000000 0.041183  0008 0.253622 0.000000 0.489441
0009 0.000000 0.202263 0.186264  0009 0.014044 0.130153 0.093822  0009 0.727020 0.993000 0.524848  0009 0.066700 0.000000 0.039164  0009 0.085567 0.000000 0.524018
0010 0.000000 0.202263 0.132900  0010 0.008930 0.130153 0.082031  0010 0.680659 0.993000 0.471978  0010 0.040437 0.000000 0.049661  0010 0.180021 0.057116 0.505820
0011 0.000000 0.458670 0.098910  0011 0.008338 0.068866 0.105713  0011 0.780485 0.993000 0.584458  0011 0.015252 0.000000 0.070253  0011 0.098878 0.000000 0.448755
0012 0.000000 0.612336 0.100610  0012 0.006497 0.130153 0.041056  0012 0.700368 0.993000 0.567689  0012 0.038058 0.057116 0.088825  0012 0.150012 0.000000 0.567189
0013 0.000000 0.886465 0.110807  0013 0.006497 0.068866 0.036476  0013 0.705443 0.993000 0.505651  0013 0.013242 0.108072 0.085192  0013 0.069559 0.000000 0.466960
0014 0.000000 0.772835 0.153974  0014 0.006497 0.000000 0.071258  0014 0.662080 0.993000 0.469814  0014 0.009352 0.180718 0.102553  0014 0.128754 0.000000 0.339505
0015 0.000000 0.799232 0.168589  0015 0.006497 0.068866 0.049872  0015 0.735688 0.993000 0.517746  0015 0.020978 0.281694 0.111839  0015 0.152177 0.000000 0.393447
0016 0.000000 0.903815 0.159752  0016 0.006497 0.000000 0.016711  0016 0.589845 0.993000 0.467312  0016 0.046488 0.281694 0.122337  0016 0.195202 0.068866 0.426420
0017 0.000000 0.986991 0.194082  0017 0.006497 0.000000 0.012064  0017 0.577006 0.993000 0.536427  0017 0.062433 0.281694 0.312907  0017 0.121919 0.000000 0.394960
